Bibliographic,,,,,,,,,,,,,,
ID,Author,Data point,Site name(s),"Type(s) of SMM

Reserve, Park, MEABR, MPA, Multiple use MPA, National protected asset",Seasonality of SMM,Age of SMM (years) (establishment-completed data collection),Size of SMM (ha),Description of location,Latitude,Longitude,Management information (fishing),Management information (excluding fishing),Governance,Study environment
#85,Hamame 2022,6,Huichas,MEABR,N/A,N/A,N/A,"Puerto Aguirre Cove, Moraleda Channel",45.2?S,N/A,N/A,N/A,Artisanal fishers,N/A
#85,Hamame 2022,7,Huichas,MEABR,N/A,N/A,N/A,"Puerto Aguirre Cove, Moraleda Channel",45.2?S,N/A,N/A,N/A,Artisanal fishers,N/A
#450,DAVIS 1995,1,Mehuin Marine Reserve,Marine reserve,N/A,N/A,N/A,Mehuin,39° 24' S,73°13' W,N/A,N/A,Artisanal fishers,Intertidal
#464,MORENO 1986,1,Mehuin Marine Reserve,Marine reserve,N/A,6,N/A,Mehuin,39° 24' S,73°13' W,N/A,N/A,N/A,Intertidal
#107,Gouraguine 2021,1,Las Cruces (ECIM),MPA,N/A,36,N/A,Las Cruces (ECIM),"Between 36°09,277' S and 23°24, 7? S ",N/A,Reserve,N/A,Pontifical Catholic University of Chile,Subtidal
#107,Gouraguine 2021,2,Chañaral Reserva,MPA,N/A,13,N/A,Chañaral Reserva,"Between 36°09,277' S and 23°24, 7? S ",N/A,Reserve,N/A,N/A,Subtidal
#107,Gouraguine 2021,3,Cobquecura,TURF NKH,N/A,17,N/A,Cobquecura,"Between 36°09,277' S and 23°24, 7? S ",N/A,No kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,4,Las Cruces,TURF NKH,N/A,17,N/A,Las Cruces,"Between 36°09,277' S and 23°24, 7? S ",N/A,No kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,5,Yeso,TURF KH,N/A,6,N/A,Yeso,"Between 36°09,277' S and 23°24, 7? S ",N/A,Kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,6,Carrizal Bajo,TURF KH,N/A,6,N/A,Carrizal Bajo,"Between 36°09,277' S and 23°24, 7? S ",N/A,Kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,7,Chanaral de Aceitun,TURF KH,N/A,6,N/A,Chanaral de Aceitun,"Between 36°09,277' S and 23°24, 7? S ",N/A,Kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,8,Los Vilos,TURF KH,N/A,6,N/A,Los Vilos,"Between 36°09,277' S and 23°24, 7? S ",N/A,Kelp harvesting,N/A,N/A,Subtidal
#107,Gouraguine 2021,9,Ventana,TURF KH,N/A,6,N/A,Ventana,"Between 36°09,277' S and 23°24, 7? S ",N/A,Kelp harvesting,N/A,N/A,Subtidal
#445,Duarte 1996,1,Mehuin Marine Reserve,Marine reserve,N/A,15,600 ha,Mehuin,39° 24' S,73° 13' W,N/A,N/A,N/A,Intertidal
#426,Fernández 2000,1,El Quisco,MEABR,N/A,N/A,N/A,El Quisco,33°23?S,N/A,N/A,N/A,N/A,Intertidal
#426,Fernández 2000,2,Las Cruces (ECIM),MPA,N/A,N/A,N/A,Las Cruces (ECIM),33° 30’ S,N/A,N/A,N/A,N/A,Intertidal
#381,Avendano 2007,1,La Rinconada Marine Reserve,Marine reserve,N/A,N/A,337.61 ha,Antofagasta Bay,23°28?28?S ,70°30?35?W,N/A,N/A,N/A,Coastal
#62,Avendano 2023,1,La Rinconada Marine Reserve,Marine reserve,N/A,13,N/A,Antofagasta Bay,23°28'S,70°30'W,N/A,N/A,N/A,N/A
#389,Diaz 2006,1,La Rinconada Marine Reserve,Marine reserve,N/A,N/A,271 ha,Antofagasta Bay,23°28'S,70°30'W,N/A,N/A,N/A,N/A
#377,Silva 2007,1,La Rinconada Marine Reserve,Marine reserve,N/A,N/A,337.6ha,Antofagasta Bay,23°28?28?S,70°30?35?W,N/A,N/A,N/A,Benthic
#151,Beckensteiner 2020,1,N/A,TURF,N/A,N/A,N/A,Chile,N/A,N/A,Coves have at least one TURF assigned to a fisher's organisation,N/A,Fisher's organisation,N/A
#199,Friedlander 2018,1,Francisco Coloane Marine Park,Marine park,N/A,14,"67,197 ha",Straits of Magellan,N/A,N/A,N/A,N/A,N/A,Benthic
#283,Carcamo 2013,1,Islas Choros-Damas Marine Reserve,Marine reserve,N/A,7,3834 ha,Isla Choros,N/A,N/A,N/A,N/A,National Fisheries Service,N/A
#283,Carcamo 2013,2,Apolillado Management Area,MEABR,N/A,15,237 ha,Isla Choros,N/A,N/A,N/A,N/A,"Los Choros Fishermen's association, Undersecretary of Fisheries",N/A
#283,Carcamo 2013,3,Punta de Choros Management Area,MEABR,N/A,14,907 ha,Isla Choros,N/A,N/A,N/A,N/A,"Punta de Choros Fishermen's association, Undersecretary of Fisheries",N/A
#283,Carcamo 2013,4,Isla Choros Management Area,MEABR,N/A,7,297 ha,Isla Choros,N/A,N/A,N/A,N/A,"Punta de Choros Fishermen's association, Undersecretary of Fisheries",N/A
#283,Carcamo 2013,5,Gaviota Island National Protected Asset,National Protected Asset,N/A,6,193 ha,Gaviota Island,N/A,N/A,N/A,N/A,Ministry of National Assets,N/A
#255,deJuan 2015,1,Las Cruces ,No-take MPA,N/A,31,N/A,Las Cruces ,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,2,El Quisco,MEABR,N/A,N/A,N/A,El Quisco,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,3,Quintay,MEABR,N/A,N/A,N/A,Quintay,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,4,Laguna Verde,MEABR,N/A,N/A,N/A,Laguna Verde,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,5,Maitencillo,MEABR,N/A,N/A,N/A,Maitencillo,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,6,Los Molles,MEABR,N/A,N/A,N/A,Los Molles,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#354,Gelcich 2009,1,Chigualoco ,MEABR,N/A,7,N/A,Chigualoco ,31°55?S,71°00?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,2,Cooperativa,MEABR,N/A,7,N/A,Cooperativa,31°55?S,71°00?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,3,Algarrobo ,MEABR,N/A,7,N/A,Algarrobo ,N/A,N/A,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,4,El Quisco,MEABR,N/A,7,N/A,El Quisco,N/A,N/A,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,5,La Boca,MEABR,N/A,3,N/A,La Boca,33°55?S,71°50?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,6,Matanzas,MEABR,N/A,3,N/A,Matanzas,33°57?S,71°52?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,7,Puertecillo,MEABR,N/A,3,N/A,Puertecillo,33°55?S,71°50?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,8,Carelmapu,MEABR,N/A,5,N/A,Carelmapu,41°51?S,73°35?W,N/A,N/A,Fishers,N/A
#375,Thompson 2008,1,Islas Choros-Damas Marine Reserve,Marine reserve,N/A,3,N/A,Choros and Damas Islands,29° 13? 29? S,71° 31? 38? W,N/A,N/A,National Fisheries Service,N/A
#121,Aburto 2020,1,Motu Motiro Hiva Marine Park (MMHMP),No-take MPA,N/A,10,15000000,Salas y Gomez Island,N/A,N/A,N/A,N/A,"Rapanui people, Chilean Government",N/A
#280,Aburto 2014,1,Tongoy,MEABR,N/A,13,N/A,Tongoy Bay,30°15? S,70°30? W,N/A,N/A,Tongoy Fishers Organisation,N/A
#92,Aburto 2021,1,Peñuelas A ,MEABR,N/A,19,N/A,Coquimbo Bay,N/A,N/A,N/A,N/A,3 fisher's organisations,N/A
#146,Anbleyth-Evans 2020,1,Dalcahue,MEABR,N/A,N/A,N/A,Dalcahue,N/A,N/A,N/A,N/A,Fishers,N/A
#146,Anbleyth-Evans 2020,2,Mañihueico - Huinay ECMPO,ECMPO (Indigenous Peoples Marine Spaces),N/A,N/A,N/A,Mañihueico - Huinay ,N/A,N/A,N/A,N/A,Huilliche-Mapuche indigenous community,N/A
#146,Anbleyth-Evans 2020,3,Lafkenmapu Lahuel MPA,MPA,N/A,N/A,N/A,Caleta Condor,N/A,N/A,N/A,N/A,N/A,N/A
#146,Anbleyth-Evans 2020,4,Maullin,MEABR,N/A,N/A,N/A,Maullin,N/A,N/A,N/A,N/A,Fishers,N/A
