Bibliographic,,,,,,,,,,,,,,
ID,Author,Data point,Site name(s),"Type(s) of SMM

Reserve, Park, MEABR, MPA, Multiple use MPA, National protected asset",Seasonality of SMM,Age of SMM (years) (establishment-completed data collection),Size of SMM (ha),Description of location,Latitude,Longitude,Management information (fishing),Management information (excluding fishing),Governance,Study environment
#103,Franco-Melendez 2021,15,Pueblo Norte sector B,TURF,N/A,20,239.61 ha,Biobio region,N/A,N/A,N/A,N/A,Artisanal fishers,Island
#103,Franco-Melendez 2021,16,Punta Cadena,TURF,N/A,13,947.2 ha,Biobio region,N/A,N/A,N/A,N/A,Artisanal fishers,Island
#103,Franco-Melendez 2021,17,Weste Isla Mocha,TURF,N/A,18,3870.81 ha,Biobio region,N/A,N/A,N/A,N/A,Artisanal fishers,Island
#103,Franco-Melendez 2021,18,Quechol,TURF,N/A,14,277.94 ha,Biobio region,N/A,N/A,N/A,N/A,Artisanal fishers,Island
#103,Franco-Melendez 2021,19,Quechol Sur,TURF,N/A,14,2376.77 ha,Biobio region,N/A,N/A,N/A,N/A,Artisanal fishers,Island
#230,Gelcich 2017,1,National (X55),TURF,N/A,N/A,146 ha (mean),Chile,Between 19°35´40.25?S and 43°8´13.41?S,Between 70°12´44.80?W and  73°39´50.21?W,N/A,N/A,N/A,N/A
#374,Thebault 2008,1,La Rinconada Marine Reserve,Marine reserve,N/A,2,350 ha,La Rinconada,23?29’S,70?30’W,N/A,N/A,N/A,Bay
#490,Vallejos 2024,1,Chepu,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,2,Puñihuil,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,3,Mar Brava,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,4,Guabun,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,5,Yuste,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,6,Carelmapu,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,7,Queniur,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,8,Maullin,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,9,Estaquilla,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,10,Unspecified / not named,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,11,Unspecified / not named,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,12,Unspecified / not named,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,13,Unspecified / not named,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#490,Vallejos 2024,14,Unspecified / not named,TURF,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#396,Gelcich 2005,1,Los Lobos,TURF,N/A,5,N/A,Los Lobos,31°55?S,71°00?W,N/A,N/A,N/A,N/A
#396,Gelcich 2005,2,La Boca,TURF,N/A,1,N/A,La Boca,33°55?S,71°50?W,N/A,N/A,N/A,N/A
#396,Gelcich 2005,3,Matanzas,TURF,N/A,1,N/A,Matanzas,33°57?S,71°52?W,N/A,N/A,N/A,N/A
#396,Gelcich 2005,4,Puertecillo ,TURF,N/A,1,N/A,Puertecillo ,34°17?S,71°58?W,N/A,N/A,N/A,N/A
#396,Gelcich 2005,5,El Muelle-Ancud,TURF,N/A,2,N/A,El Muelle-Ancud,41°51?S,73°49?W,N/A,N/A,N/A,N/A
#396,Gelcich 2005,6,Quicavi ,TURF,N/A,2,N/A,Quicavi ,42° 18?S,73° 35?W,N/A,N/A,N/A,N/A
#202,Santos-Carvallo 2018,1,Marine Reserve of Chañaral and Choros-Damas Islands (MRC-CD),Marine reserve,N/A,N/A,N/A,"Chañaral Island, Damas Island and Choros Island",Between 29.03°S and 29.26°S,Between 71.57°W and 71.52.°W,N/A,N/A,N/A,Coastal
#135,Ospina-Alvarez 2020,1,National,N/A,N/A,N/A,N/A,Chile,31.57°S to 36.00°S,N/A,"75 TURFs, 1 Natural Monument, 4 Natural Sanctuaries",N/A,SUBPESCA and Ministry of Environment,N/A
#626,Santis 2015,1,Biobío region (X10),MEABR,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#68,Droguett 2023,1,Seno Almirantazgo MPA,MPA,N/A,N/A,N/A,"Islote Albatros, Tierra del Fuego ",54°27?20?S ,69°01?12??W,N/A,N/A,N/A,Island
#117,Franco-Melendez 2021,1,San Vicente,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,2,Candelaria-Cantera,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,3,Rari,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,4,Dichato,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,5,Punta Raimenco,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,6,Bajo Rumena,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,7,Rumena,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,8,Los Piures,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,9,Cobquecura sector,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,10,Puerto Yana,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,11,Maule,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,12,Punta Lavapie,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,13,Pueblo Hundido,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,14,Laraquete,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,15,Los Partidos,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,16,Puerto Sur,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,17,Pueblo Norte sector B,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,18,Punta Cadena,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,19,Weste Isla Mocha,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,20,Quechol,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#117,Franco-Melendez 2021,21,Quechol Sur,TURF,N/A,N/A,N/A,Biobio region,Between 35°70'S and 38°30'S,N/A,N/A,N/A,N/A,N/A
#12,Romero 2025,1,National (X630),MEABR,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#331,Gallardo 2011,1,Guayacán,MEABR,N/A,5,N/A,Guayacán,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#331,Gallardo 2011,2,Huentelauquén ,MEABR,N/A,12,N/A,Huentelauquén ,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#164,Monnahan 2019,1,Francisco Coloane Coastal-Marine Protected Area,MPA,N/A,N/A,N/A,Magellan Strait,Between  52°17?S and 54°15?S,N/A,Includes Marine National Park,N/A,N/A,N/A
#496,Molinet 2023,1,Pitipalena-Añihue MCPA,MPA,N/A,6,23900 ha,Chiloense ecoregion,43° 38’ - 44° 03?S,72° 47’ - 73° 03?W,Aquaculture and artisanal fishing grants,N/A,N/A,Benthic
#119,Morales 2021,1,Motu Motiro Hiva Marine Park,Marine park,N/A,N/A,N/A,Salas y Gómez Island,26° 27'S ,105° 28'W,N/A,N/A,N/A,N/A
#274,Molina 2014,1,Quintay,MEABR,N/A,20,N/A,Quintay,33°11? S,71°41? W,N/A,N/A,Artisanal fishers,Subtidal
#210,Mattos 2017,1,Isla Grande Atacama,MPA,N/A,13,N/A,Atacama region,27°S,N/A,N/A,Moderate naval traffic,N/A,N/A
#120,Plaza 2021,1,Rapa Nui ,Multiple-use MPA,N/A,N/A,N/A,Motu Nui,27°20'S ,109°45W,N/A,N/A,N/A,Island
#286,Reyes-Arriagada 2013,1,Chico Islet ,Natural Monument,N/A,9,N/A,Puñihuil Islets,41°55? S,74°02? W,Regulations similar to MPA,No access permitted to Islets,N/A,N/A
#286,Reyes-Arriagada 2013,2,Grande Islet,Natural Monument,N/A,9,N/A,Puñihuil Islets,41°55? S,74°02? W,Regulations similar to MPA,No access permitted to Islets,N/A,N/A
#234,Manriquez 2016,1,La Rinconada,Marine reserve,N/A,17,N/A,Antofagasta Bay,23°28? S ,70°30? W,N/A,N/A,N/A,Intertidal
#170,Sepulveda 2019,1,Punta Choros,TURF,N/A,N/A,371 ha,Punta Choros,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,2,Chungungo,TURF,N/A,N/A,107.29 ha,Chungungo,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,3,Hornos,TURF,N/A,N/A,295 ha,Hornos,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,4,Peñuelas,TURF,N/A,N/A,256.02 ha,Peñuelas,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,5,Guayacán,TURF,N/A,N/A,5.6 ha,Guayacán,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,6,Sierra,TURF,N/A,N/A,68.29 ha,Sierra,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,7,Cascabeles,TURF,N/A,N/A,48.75 ha,Cascabeles,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#170,Sepulveda 2019,8,San Pedro los Vilos,TURF,N/A,N/A,353.35 ha,San Pedro los Vilos,N/A,N/A,N/A,TURF-aquaculture system,Fishers' association,N/A
#417,Manriquez 2001,1,Las Cruces,MPA,N/A,12,N/A,Las Cruces,33° 31’ S,71° 38’ W,No take,Closed to the public,Las Cruces Catholic University,Intertidal
#417,Manriquez 2001,2,Las Cruces,Semi-protected area,N/A,N/A,N/A,Las Cruces,33° 31’ S,71° 38’ W,"Open to divers, restricted by a private owner's fence",N/A,Private owner,Intertidal
#417,Manriquez 2001,3,El Quisco,MEABR,N/A,1,N/A,El Quisco,33° 23’ S,71° 42’ W,N/A,N/A,Fishermen's union,Subtidal
#382,Gelcich 2007,1,Syndicate Union La Boca,MEABR,N/A,1,,Region VI,33°55?S,71°50?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,2,Vega La Boca ,MEABR,N/A,1,,Region VI,33°55?S,71°50?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,3,Union Matanzas ,MEABR,N/A,1,,Region VI,33°57?S,71°52?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,4,El Muelle-Ancud,MEABR,N/A,2,,Region X,41°51?S,73°49?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,5,Carelmapu ,MEABR,N/A,2,,Region X,41°51?S,73°35?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,6,Syndicate Cooperativa,MEABR,N/A,7,N/A,Region IV,31°55?S,71°00?W,N/A,N/A,Syndicates,N/A
#382,Gelcich 2007,7,Syndicate El Quisco,MEABR,N/A,5,N/A,Region V,N/A,N/A,N/A,N/A,Syndicates,N/A
#372,Gelcich 2008,1,El Quisco Sur,MEABR,N/A,7,160 ha,El Quisco,32°6'S-33°50' S,N/A,24 hour surveillance,N/A,Artisanal fishers,Subtidal
#372,Gelcich 2008,2,El Quisco Norte,MEABR,N/A,7,60 ha,El Quisco,32°6'S-33°50' S,N/A,25 hour surveillance,N/A,Artisanal fishers,Subtidal
#372,Gelcich 2008,3,Algarrobo Sur,MEABR,N/A,7,80 ha,Algarrobo ,32°6'S-33°50' S,N/A,26 hour surveillance,N/A,Artisanal fishers,Subtidal
#39,Suazo 2024,1,Diego Ramírez,MPA,N/A,3,N/A,Diego Ramírez,56º31?17’’S,68º42?53’’W,N/A,N/A,N/A,Island
#368,Gelcich 2008,1,Cooperativa,MEABR,N/A,5,N/A,Cooperativa,31? 55' S,71? 00'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,2,Chigualoco,MEABR,N/A,5,N/A,Chigualoco,31? 45' S,71? 30'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,3,Los Lobos,MEABR,N/A,1,N/A,Los Lobos,31? 55' S,71? 00'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,4,El Quisco,MEABR,N/A,4,N/A,El Quisco,33? 24' S,71? 41'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,5,La Boca,MEABR,N/A,2,N/A,La Boca,33? 55' S,71? 50'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,6,Matanzas,MEABR,N/A,1,N/A,Matanzas,33? 57' S,71? 52'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,7,Puertecillo,MEABR,N/A,1,N/A,Puertecillo,34? 17' S,71? 58'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,8,Carelmapu,MEABR,N/A,2,N/A,Carelmapu,41? 44' S,73? 43'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,9,El Muelle-Ancud,MEABR,N/A,1,N/A,El Muelle-Ancud,41? 51' S,73? 49'W,N/A,N/A,Fishers' Unions,N/A
#368,Gelcich 2008,10,Quicavi,MEABR,N/A,1,N/A,Quicavi,42? 18' S,73? 35'W,N/A,N/A,Fishers' Unions,N/A
#369,Pollack 2008,1,Cape Horn Biosphere Reserve,Marine reserve,Closed season,1,N/A,"Cape Horn, Magellan Region",N/A,N/A,"Minimum catch size, closed season (7 months King crab, 2 months Snow crab), only Artisanal fishing permitted ",N/A,SERNAPESCA,N/A
#30,Nykol 2024,1,Seno Almirantazgo,MPA,N/A,6,115000 ha,Isla Grande de Tierra del Fuego,54?21? S,69?21? W,Sustainable anthropogenic activities allowed,N/A,N/A,N/A
#413,Martínez 2002,1,Las Cruces,Marine reserve,N/A,N/A,N/A,Las Cruces,33° 30' S,71° 38’ W,N/A,N/A,N/A,Intertidal
#413,Martínez 2002,2,El Quisco,MEABR,N/A,N/A,N/A,El Quisco,33° 23' S,71° 42’ W,N/A,N/A,N/A,Intertidal
#440,Moreno 1998,1,Mehuin Marine Reserve,Marine reserve,N/A,N/A,N/A,Maiquillahue Bay,"39° 25''28"" S","73°13'5"" W",N/A,N/A,N/A,N/A
#398,Gelcich 2005,1,AG San Pedro,MEABR,N/A,4,N/A,Los Vilos,31° 55' S,71° 00' S,N/A,N/A,Fishing syndicate,N/A
#398,Gelcich 2005,2,Cooperativa Los Vilos,MEABR,N/A,4,N/A,Los Vilos,31° 55' S,71° 00' S,N/A,N/A,Fishing syndicate,N/A
#398,Gelcich 2005,3,Los Lobos,MEABR,N/A,1,N/A,Los Vilos,31° 55' S,71° 00' S,N/A,N/A,Fishing syndicate,N/A
#289,Gelcich 2013,1,Lafken Mapu Lahual,Multiple-use MPA,N/A,5,4463 ha,Lafken Mapu Lahual,40°37?S,40°48?S,"Contains no-take, sustainable use, and buffer zones",N/A,Government,N/A
#391,Gonzalez 2006,1,Unspecified / not named (X42),MEABR,N/A,N/A,N/A,Region IV to Region III,N/A,N/A,N/A,N/A,N/A,N/A
#79,Petit 2022,1,Motu Motiro Hiva Marine Park (MMHMP),Marine park,N/A,N/A,N/A,Salas y Gomez Island,N/A,N/A,No-take,N/A,N/A,N/A
#79,Petit 2022,2,Rapa Nui,Multiple-use MPA,N/A,N/A,N/A,Rapa Nui,N/A,N/A,"Industrial fishing restricted, no restrictions on nearshore activities",N/A,N/A,N/A
#246,Oyanedel 2016,1,Navidad MPA,No-take MPA,N/A,7,20 ha,Navidad,N/A,N/A,N/A,N/A,"Local municipality, artisanal fishers, Pontificia Universidad Católica de Chile",N/A
#246,Oyanedel 2016,2,Punta de Lobos MPA,No-take MPA,N/A,6,50 ha,Punta de Lobos,N/A,N/A,N/A,N/A,Neighbourhood association,N/A
#198,Petit 2018,1,National (X20),MPA,N/A,,N/A,Chile,N/A,N/A,"Included MPAs, parks, reserves, and National Sanctuaries",N/A,N/A,N/A
#213,Ruano-Chamorro 2017,1,Quintay,TURF,N/A,N/A,N/A,Quintay,33° 11? S,71° 41? W,N/A,N/A,Fishers' union,N/A
#213,Ruano-Chamorro 2017,2,Quintay,TURF,N/A,N/A,N/A,Quintay,33° 11? S,71° 41? W,N/A,N/A,Fishers' union,N/A
#213,Ruano-Chamorro 2017,3,Algarrobo,TURF,N/A,N/A,N/A,Algarrobo,33° 22? S,71° 40? W,N/A,N/A,Fishers' union,N/A
#213,Ruano-Chamorro 2017,4,Algarrobo,TURF,N/A,N/A,N/A,Algarrobo,33° 22? S,71° 40? W,N/A,N/A,Fishers' union,N/A
#213,Ruano-Chamorro 2017,5,Algarrobo,TURF,N/A,N/A,N/A,Algarrobo,33° 22? S,71° 40? W,N/A,N/A,Fishers' union,N/A
#512,Marín 2023,1,Bio-Bio (X21),MEABR,N/A,N/A,N/A,Bio-Bio,36°46?S ,73°03?W,N/A,N/A,Fisher organisations,N/A
#512,Marín 2023,2,Valparaíso (X16),MEABR,N/A,N/A,N/A,Valparaíso ,33°03?S,71°38?W,N/A,N/A,Fisher organisations,N/A
#112,Garmendia 2021,1,Chañaral de Aceituno,TURF,N/A,N/A,N/A,Chañaral de Aceituno,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#112,Garmendia 2021,2,Hornos,TURF,N/A,N/A,N/A,Hornos,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#112,Garmendia 2021,3,Chigualoco,TURF,N/A,N/A,N/A,Chigualoco,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#112,Garmendia 2021,4,Papudo,TURF,N/A,N/A,N/A,Papudo,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#112,Garmendia 2021,5,Quintay,TURF,N/A,N/A,N/A,Quintay,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#112,Garmendia 2021,6,Algarrobo,TURF,N/A,N/A,N/A,Algarrobo,N/A,N/A,N/A,N/A,Artisanal fishers,N/A
#20,Harms 2024,1,Magdalena Island National Park,National park,N/A,N/A,45000," Cisnes Commune, Aysén Region",Between 44°20’S and 45°29’S,Between 73°20’W and 72°50’W,Restrictions on human activities,N/A,N/A,N/A
#20,Harms 2024,2,Kawésqar National Reserve,Marine reserve,N/A,N/A,827000,"Cisnes and Aysén Communes, Aysén Region",Between 44°10’S and 46°30’S,Between 75°30’W and 73°10’W,Allows sustainable use of resources,N/A,N/A,N/A
#20,Harms 2024,3, Las Guaitecas National Reserve,Marine reserve,N/A,N/A,2601000,Natales and Rio Verde Communes,Between 50°10’S and 54°30’S,Between 76°10’W and 71°10’W,,N/A,N/A,N/A
#18,Zucconi 2024,1,National,MPAs,N/A,N/A,N/A,Chile,Between 18° S and 43°S,N/A,N/A,N/A,N/A,N/A
#302,Ortiz 2013,1,La Rinconada,Marine reserve,N/A,N/A,N/A,Antofagasta Bay,N/A,N/A,N/A,N/A,N/A,Benthic
#316,Almanza 2012,1,Bahía Mansa north,MEABR,N/A,N/A,0.4,Bahía Mansa north,40°34?S,73°44?W,N/A,N/A,N/A,Subtidal
#316,Almanza 2012,2,Bahía Mansa south,MEABR,N/A,N/A,6,Bahía Mansa south,40°35?S,73°44?W,N/A,N/A,N/A,Subtidal
#316,Almanza 2012,3,Maicolpué,MEABR,N/A,N/A,9,Maicolpué,40°36?S,73°45?W,N/A,N/A,N/A,Subtidal
