Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Territorial Use Rights for Fisheries (TURF) in central-southern Chile: Their sustainability status from a transdisciplinary holistic approach,"Franco-Melendez, Milagros; Cubillos, Luis A.; Tam, Jorge; Hernandez Aguado, Simon; Quinones, Renato A.; Hernandez, Aldo",MARINE POLICY,132,,,10.1016/j.marpol.2021.104644,2021,#103,Franco-Melendez 2021
Integrating human and ecological dimensions: The importance of stakeholders' perceptions and participation on the performance of fisheries co-management in Chile,"Franco-Melendez, Milagros; Tam, Jorge; van Putten, Ingrid; Cubillos, Luis A.",PLOS ONE,16,8,,10.1371/journal.pone.0254727,2021,#117,Franco-Melendez 2021
"Characterising the co-management system in the BiobÌo Region, Chile, based on fishers' and experts' knowledge: A dual perspective","Franco-Melendez, Milagros; Tam, Jorge; Aguado, Simon Hernandez; Cubillos, Luis A.; Cid-Aguayo, Beatriz",MARINE POLICY,179,,,10.1016/j.marpol.2025.106749,2025,#10,Franco-Melendez 2025
"Effects of isolation and fishing on the marine ecosystems of Easter Island and Salas y Gomez, Chile","Friedlander, Alan M.; Ballesteros, Enric; Beets, Jim; Berkenpas, Eric; Gaymer, Carlos F.; Gorny, Matthias; Sala, Enric",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,23,4,515-531,10.1002/aqc.2333,2013,#295,Friedlander 2013
Marine biodiversity at the end of the world: Cape Horn and Diego Ramirez islands,"Friedlander, Alan M.; Ballesteros, Enric; Bell, Tom W.; Giddens, Jonatha; Henning, Brad; Hune, Mathias; Munoz, Alex; Salinas-de-Leon, Pelayo; Sala, Enric",PLOS ONE,13,1,,10.1371/journal.pone.0189930,2018,#199,Friedlander 2018
Emerging commons within artisanal fisheries. The Chilean territorial use rights in fisheries (TURFs) within a broader coastal landscape,"Suazo, Cristian G.; Anguita, Cristobal; Letelier, Carlos Garces; Martinez, Alexis; Quillfeldt, Petra",INTERNATIONAL JOURNAL OF THE COMMONS,5,2,459-484,,2011,#331,Gallardo 2011
New marine commons along the Chilean coast-the management areas (MAs) of PeÒuelas and Chigualoco,"Gallardo-Fern√°ndez, G.L.; Friman, E.",International Journal of the Commons,5,2,433-458,10.18352/ijc.284,2011,#678,Gallardo-Fern·ndez 2011
The use of fishers' knowledge to assess benthic resource abundance across management regimes in Chilean artisanal fisheries,"Garmendia, Vladimir; Subida, Maria Dulce; Aguilar, Ainara; Fernandez, Miriam",MARINE POLICY,127,,,10.1016/j.marpol.2021.104425,2021,#112,Garmendia 2021
Importance of attitudinal differences among artisanal fishers toward co-management and conservation of marine resources,"Gelcich, S; Edwards-Jones, G; Kaiser, MJ",CONSERVATION BIOLOGY,19,3,865-875,10.1111/j.1523-1739.2005.00534.x,2005,#396,Gelcich 2005
Using discourses for policy evaluation: The case of marine common property rights in Chile,"Gelcich, S; Edwards-Jones, G; Kaiser, MJ; Watson, E",SOCIETY & NATURAL RESOURCES,18,4,377-391,10.1080/08941920590915279,2005,#398,Gelcich 2005
Heterogeneity in fishers' harvesting decisions under a marine territorial user rights policy,"Avendano D, Miguel; Cantillanez S., Marcela; Thouzeau, Gerard; Pena, Juan B.",ECOLOGICAL ECONOMICS,61,,246-254,10.1016/j.ecolecon.2006.02.017,2007,#382,Gelcich 2007
Engagement in co-management of marine benthic resources influences environmental perceptions of artisanal fishers,"Avendano, Miguel; Cantillanez, Marcela; Le Pennec, Marcel; Thouzeau, Gerard",ENVIRONMENTAL CONSERVATION,35,1,36-45,10.1017/S0376892908004475,2008,#368,Gelcich 2008
Add-on conservation benefits of marine territorial user rights fishery policies in Central Chile,"Loot, G.; Blanchet, S.; Aldana, M.; Navarrete, Sergio A.",ECOLOGICAL APPLICATIONS,18,1,273-281,10.1890/06-1896.1,2008,#372,Gelcich 2008
Artisanal fishers' perceptions regarding coastal co-management policies in Chile and their potentials to scale-up marine biodiversity conservation,"Gallardo, Gloria L.; Stotz, Wolfgang; Aburto, Jaime; Mondaca, Carolin; Vera, Karoll",OCEAN & COASTAL MANAGEMENT,52,8,424-432,"10.1016/j.ocecoaman.2009.07.005

",2009,#354,Gelcich 2009
Territorial User Rights for Fisheries as Ancillary Instruments for Marine Coastal Conservation in Chile,"Gelcich, Stefan; Fernandez, Miriam; Godoy, Natalio; Canepa, Antonio; Prado, Luis; Carlos Castilla, Juan",CONSERVATION BIOLOGY,26,6,1005-1015,10.1111/j.1523-1739.2012.01928.x,2012,#307,Gelcich 2012
