Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#55,Arias 2023,3,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Technical reports (SUBPESCA),Monitoring reports (SUBPESCA),N/A,Landings,Descriptive,Landings (per capita),Loco,Concholepas concholepas,no./fisher,N/A,N/A,N/A,No,N/A,0,0,81,0,2006,2017,11,1,No,No,,,,,,
#55,Arias 2023,4,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Technical reports (SUBPESCA),Monitoring reports (SUBPESCA),N/A,Income ,Descriptive,Maximum Income Loss,Loco,Concholepas concholepas,%,N/A,N/A,N/A,No,N/A,0,0,81,0,2006,2017,11,1,No,No,,,,,,
#55,Arias 2023,5,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Technical reports (SUBPESCA),Monitoring reports (SUBPESCA),N/A,Landings,Descriptive,Landings,Algae,"Lessonia sp., Macrocystis sp.",tonnes,N/A,N/A,N/A,No,N/A,0,0,81,0,2006,2017,11,10,No,No,,,,,,
#55,Arias 2023,6,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Technical reports (SUBPESCA),Monitoring reports (SUBPESCA),N/A,Income ,Descriptive,Maximum Income Loss,Algae,"Lessonia sp., Macrocystis sp.",%,N/A,N/A,N/A,No,N/A,0,0,81,0,2006,2017,11,1,No,No,,,,,,
#55,Arias 2023,7,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Technical reports (SUBPESCA),Monitoring reports (SUBPESCA),N/A,Income ,Descriptive,Maximum Income Loss,"Algae, Loco","Lessonia sp., Macrocystis sp., Concholepas concholepas",%,N/A,N/A,N/A,No,N/A,0,0,81,0,2006,2017,11,1,No,No,,,,,,
#133,Anguita 2020,1,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Landings data (SERNAPESCA),Quotas (SUBPESCA),N/A,Landings,Inferential analysis,Total Allowed Catch,Loco,Concholepas concholepas,kg,"Temperature, TURF size, no. of fishers, upwelling",N/A,N/A,Yes,Bayesian generalized linear multilevel models,0,0,217,0,2001,2018,17,16,No,No,,,,,,
#133,Anguita 2020,2,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,Landings data (SERNAPESCA),Quotas (SUBPESCA),N/A,Landings,Inferential analysis,Harvest,Loco,Concholepas concholepas,kg,"Temperature, TURF size, no. of fishers, upwelling",N/A,N/A,Yes,Bayesian generalized linear multilevel models,0,0,224,0,2001,2018,17,16,No,No,,,,,,
#503,Avendaño 2023,1,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Abundance,Descriptive,Abundance,Scallop,Argopecten purpuratus,no. of individuals,N/A,N/A,N/A,No,N/A,1,0,0,0,1993,2009,16,10,Yes,No,Review paper,,,,,
#503,Avendaño 2023,2,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Size,Descriptive,Size,Scallop,Argopecten purpuratus,% (age classes),N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2009,10,6,No,No,,,,,,
#503,Avendaño 2023,3,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Population change,Descriptive,Total mortality,Scallop,Argopecten purpuratus,Ln abundance,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2009,10,6,No,No,,,,,,
#503,Avendaño 2023,4,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Population change,Descriptive,Fishing mortality,Scallop,Argopecten purpuratus,F,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2009,10,5,No,No,,,,,,
#503,Avendaño 2023,5,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Abundance,Descriptive,Abundance,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,No,N/A,1,0,0,0,1996,2003,7,5,No,No,,,,,,
#503,Avendaño 2023,6,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Population change,Descriptive,Recruits,Scallop,Argopecten purpuratus,no. of individuals,N/A,N/A,N/A,No,N/A,1,0,0,0,1996,2003,7,5,No,No,,,,,,
#503,Avendaño 2023,7,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Published studies,N/A,N/A,Population change,Descriptive,Parent population,Scallop,Argopecten purpuratus,no. of individuals,N/A,N/A,N/A,No,N/A,1,0,0,0,1996,2003,7,5,No,No,,,,,,
#76 ,Avendano 2022,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Scallop,Argopecten purpuratus,individuals/m2,Spatial distribution,N/A,N/A,No,N/A,1,0,0,0,1999,2001,3,3,No,No,,,,,,
#76 ,Avendano 2022,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Scallop,Argopecten purpuratus,no. of individuals,N/A,N/A,N/A,No,N/A,1,0,0,0,1997,2001,4,4,No,No,,,,,,
#76 ,Avendano 2022,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Descriptive,Size,Scallop,Argopecten purpuratus,mm,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2001,3,3,No,No,,,,,,
#76 ,Avendano 2022,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Larvae abundance,Scallop,Argopecten purpuratus,individuals/m3,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2001,3,36,No,No,,,,,,
#76 ,Avendano 2022,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Larvae settlement,Scallop,Argopecten purpuratus,individuals/collector,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2001,3,36,No,No,,,,,,
#76 ,Avendano 2022,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Larvae size ,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2001,3,36,No,No,,,,,,
#312,Zapata 2012,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,Copper concentration,Scallop,Argopecten purpuratus,?g/gwwt,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#312,Zapata 2012,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,Lead concentration,Scallop,Argopecten purpuratus,?g/gwwt,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#312,Zapata 2012,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,Cadmium concentration,Scallop,Argopecten purpuratus,?g/gwwt,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#312,Zapata 2012,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,GPX gene expression,Scallop,Argopecten purpuratus,relative expression,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,(Genes involved in oxidising metal contaminants),,,,,
#312,Zapata 2012,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,GST gene expression,Scallop,Argopecten purpuratus,relative expression,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#312,Zapata 2012,6,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,HSP70 gene expression,Scallop,Argopecten purpuratus,relative expression,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#312,Zapata 2012,7,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Contamination,Inferential analysis,MT concentration,Scallop,Argopecten purpuratus,mg/gwwt,Digestive gland / gills,N/A,N/A,Yes,"ANOVA, Tukey multiple comparison",1,3,0,0,2009,2009,<1,1,No,No,,,,,,
#322,Squeo 2012,1,Environmental,Environmental,Secondary,Quantitative,N/A,N/A,N/A,Chilean Ministry of National Heritage,Published studies,WWF,Area,Descriptive,Area protected,N/A,N/A,%,Ecoregion,N/A,Gap analysis,N/A,N/A,Multiple,Multiple,Multiple,Multiple,2011,2011,<1,1,No,No,,,,,,
#279,Rosas 2014,1,Social-economic,Social,Mixed,Quantitative,Survey,N/A,N/A,Technical reports,N/A,N/A,User perception,Descriptive,Effectiveness of governance,Loco,Concholepas concholepas,N/A,N/A,Fishers' organisation leaders (45),N/A,No,N/A,0,0,45,0,2000,2009,9,1,No,No,,,,,,
#279,Rosas 2014,2,Social-economic,Social,Mixed,Quantitative,Survey,N/A,N/A,Technical reports,N/A,N/A,User perception,Descriptive,Stakeholder participation,Loco,Concholepas concholepas,N/A,N/A,Fishers' organisation leaders (45),N/A,No,N/A,0,0,45,0,2000,2009,9,1,No,No,,,,,,
#279,Rosas 2014,3,Social-economic,Economic,Mixed,Quantitative,Survey,N/A,N/A,Technical reports,N/A,N/A,Income,Descriptive,Income (per capita),Loco,Concholepas concholepas,pesos,N/A,Fishers' organisation leaders (45),N/A,Yes,Mixed effects model,0,0,45,0,2000,2009,9,1,No,No,Model used to assess the impacts of TURF characteristics on per capita income,,,,,
#113,Romero 2021,1,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,National Fisheries Service,Undersecretariat for Fisheries,Ministry of Social Development,Income,Inferential analysis,Gross income (per capita),N/A,N/A,US$,N/A,N/A,N/A,Yes,Difference in Difference Matching model,0,0,0,219,2003,2015,12,4,No,No,Model used to assess the impacts of TURF characteristics on per capita income,,,,,
#71,Quezada 2023,1,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,SUBPESCA,National Fisheries Service (SERNAPESCA),N/A,Size,Inferential analysis,Growth rate,Loco,Concholepas concholepas,N/A,N/A,N/A,N/A,Yes,Stochastic frontier model,0,0,232,0,1998,2018,20,1,No,No,,,,,,
#71,Quezada 2023,2,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,SUBPESCA,National Fisheries Service (SERNAPESCA),N/A,Fishing pressure,Inferential analysis,Technical inefficiency,Loco,Concholepas concholepas,N/A,N/A,N/A,N/A,Yes,Stochastic frontier model,0,0,232,0,1998,2018,20,1,No,No,,,,,,
#71,Quezada 2023,3,Economic,Economic,Secondary,Quantitative,N/A,N/A,N/A,SUBPESCA,National Fisheries Service (SERNAPESCA),N/A,Landings (illegal),Inferential analysis,Non-recorded extraction,Loco,Concholepas concholepas,N/A,N/A,N/A,N/A,Yes,Stochastic frontier model,0,0,232,0,1998,2018,20,1,No,No,,,,,,
#367,Avendano 2008,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Descriptive,Gonad Index,Scallop,Argopecten purpuratus,GI,N/A,N/A,N/A,No,N/A,1,0,0,0,1995,2003,8,33,No,No,,,,,,
#367,Avendano 2008,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Biomass,Descriptive,Larvae abundance,Scallop,Argopecten purpuratus,individuals/m3,Larvae stage,N/A,N/A,No,N/A,1,0,0,0,1995,2003,8,49,No,No,,,,,,
#397,Cantillanez 2005,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Descriptive,Gonadosomatic Index (GSI),Scallop,Argopecten purpuratus,GSI,N/A,N/A,N/A,No,N/A,1,0,0,0,1995,2000,5,108,Yes,No,,,,,,
#397,Cantillanez 2005,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Descriptive,Gonad maturity stage ,Scallop,Argopecten purpuratus,Relative frequency,N/A,N/A,N/A,No,N/A,1,0,0,0,1995,1998,3,34,Yes,No,,,,,,
#397,Cantillanez 2005,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Phytoplankton,N/A,cells/ml,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2000,1,26,Yes,No,,,,,,
#397,Cantillanez 2005,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Chlorophyll a concentration,Phytoplankton,N/A,?g/l,N/A,N/A,N/A,No,N/A,1,0,0,0,1999,2000,1,26,Yes,No,,,,,,
#176 ,Carcamo 2019,1,Environmental,Environmental,Mixed,Quantitative,Observation,Aerial census,N/A,Stranding records (SERNAPESCA),Social media,N/A,Area,Descriptive,Proportion of haul-out sites protected,Southern elephant seal,Mirounga leonina,%,Presence of pups,N/A,N/A,No,N/A,Multiple,Multiple,0,0,2004,2017,13,1,No,No,,,,,,
#176 ,Carcamo 2019,2,Environmental,Environmental,Mixed,Quantitative,Observation,Aerial census,N/A,Stranding records (SERNAPESCA),Social media,N/A,Area,Descriptive,Proportion of sightings,Southern elephant seal,Mirounga leonina,%,N/A,N/A,N/A,No,N/A,Multiple,Multiple,0,0,2004,2017,13,1,No,No,,,,,,
#176 ,Carcamo 2019,3,Environmental,Environmental,Mixed,Quantitative,Observation,Aerial census,N/A,Stranding records (SERNAPESCA),Social media,N/A,Abundance,Descriptive,Abundance,Southern elephant seal,Mirounga leonina,No. of individuals,N/A,N/A,N/A,No,N/A,Multiple,Multiple,0,0,2004,2017,13,1,No,No,,,,,,
#108,Gonzalez 2021,1,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Biomass,Descriptive,Biomass,N/A,N/A,g/m2/year,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,Data estimated from trophic models,,,,,
#108,Gonzalez 2021,2,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Landings,Descriptive,Catches (wet weight),N/A,N/A,g/m2/year,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,3,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Turnover rate,N/A,N/A,g/m2/year,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,4,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Consumption rate,N/A,N/A,g/m2/year,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,5,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Ecotrophic efficiency,N/A,N/A,%,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,6,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Gross efficiency (ecosystem),N/A,N/A,%,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,7,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Fishing mortality,N/A,N/A,g/m2/year,Functional group,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,8,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Landings,Descriptive,Exports,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,9,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Respiratory flows,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,10,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Detritus flows,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,11,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,System throughput,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,12,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Total production,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,13,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Landings,Descriptive,Mean trophic level of catch,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,14,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Fishing pressure,Descriptive,Gross efficiency (fisheries),N/A,N/A,catch/NPP,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,15,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Total NPP (net primary production),N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,16,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Net system production,N/A,N/A,g/m2/year,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,17,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Finn's Cycling Index,N/A,N/A,%,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,18,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,No. of pathways,N/A,N/A,no.,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,19,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Average path length,N/A,N/A,APL,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,20,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Food web connectance,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,21,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Omnivory index,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,22,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Ecosystem functioning,Descriptive,Mean transfer efficiency,N/A,N/A,%,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#108,Gonzalez 2021,23,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Published literature,N/A,N/A,Keystoneness,Descriptive,Keystoneness Index,N/A,N/A,KSi,N/A,N/A,N/A,No,N/A,0,0,0,1,1999,2018,19,4,No,No,,,,,,
#52,Huaiquimilla-Guerrero 2023,1,Social,Social,Secondary,Qualitative,N/A,N/A,N/A,Published literature,Gray literature,Ministry of Environment + Ministry of Public Works,User perception,Narrative,Stakeholder participation,N/A,N/A,N/A,Modes of participation,N/A,N/A,No,N/A,Multiple,0,Multiple,0,2022,2022,<1,1,No,No,,,,,,
#52,Huaiquimilla-Guerrero 2023,2,Social,Social,Secondary,Quantitative,N/A,N/A,N/A,Published literature,Gray literature,Ministry of Environment + Ministry of Public Works,User perception,Descriptive,Stakeholder participation,N/A,N/A,% (of MPAs),N/A,Indigenous Peoples,N/A,No,N/A,Multiple,0,Multiple,0,2022,2022,<1,1,No,No,,,,,,
#52,Huaiquimilla-Guerrero 2023,3,Social,Social,Secondary,Quantitative,N/A,N/A,N/A,Published literature,Gray literature,Ministry of Environment + Ministry of Public Works,User perception,Descriptive,Stakeholder participation,N/A,N/A,% (area),N/A,Indigenous Peoples,N/A,No,N/A,Multiple,0,Multiple,0,2022,2022,<1,1,No,No,,,,,,
#311,Lee 2012,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Richness,Inferential analysis,Species richness,"Macrofauna, Meiofauna ",N/A,no. of species,Artifical plates,N/A,N/A,Yes,NMDS,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#311,Lee 2012,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Community composition,Inferential analysis,Community composition,"Macrofauna, Meiofauna ",N/A,N/A,Artifical plates,N/A,N/A,Yes,"SIMPER analysis, ANOSIM",1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#311,Lee 2012,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Abundance,Amphipod,N/A,no./35cm2,Artifical plates,N/A,N/A,Yes,T-test,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#216,Avendano 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Reproductive output,Descriptive,Gonadosomatic Index (GSI),Scallop,Argopecten purpuratus,GSI,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#216,Avendano 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Spat abundance,Scallop,Argopecten purpuratus,no./collector,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#216,Avendano 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Descriptive,Spat shell length,Scallop,Argopecten purpuratus,?m,N/A,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#216,Avendano 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Scallop,Argopecten purpuratus,individuals/m2,"Spatial distribution, Depth, Algae cover",N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#216,Avendano 2017,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,Mark and recapture,N/A,N/A,N/A,Size,Descriptive,Shell length,Scallop,Argopecten purpuratus,mm,Cohort,N/A,N/A,No,N/A,1,0,0,0,2001,2009,8,4,No,No,,,,,,
#163,Luna-Jorquera 2019,1,Environmental,Environmental,Primary,Quantitative,Litter collection,N/A,N/A,N/A,N/A,N/A,Contamination,Descriptive,Macrolitter presence,N/A,N/A,no. of items,N/A,N/A,N/A,No,N/A,1,0,0,0,2014,2018,5,5,No,No,,,,,,
#163,Luna-Jorquera 2019,2,Environmental,Environmental,Primary,Quantitative,Litter collection,N/A,N/A,N/A,N/A,N/A,Contamination,Descriptive,Macrolitter source,N/A,N/A,no. of items,N/A,N/A,N/A,No,N/A,1,0,0,0,2014,2018,5,5,No,No,,,,,,
#187,Chavez 2018,1,Social-economic,Social,Primary,Quantitative,Survey,N/A,N/A,N/A,N/A,N/A,User perception,Descriptive,Compliance,N/A,N/A,Response scale (1-10),N/A,"TURF members (210), Students (204)",N/A,No,N/A,0,0,12,0,2018,2018,<1,1,No,No,,,,,,
#187,Chavez 2018,2,Social-economic,Social,Primary,Quantitative,Survey,N/A,N/A,N/A,N/A,N/A,User perception,Descriptive,Stakeholder participation,N/A,N/A,Response scale (1-10),N/A,"TURF members (210), Students (204)",N/A,No,N/A,0,0,12,0,2018,2018,<1,1,No,No,,,,,,
#187,Chavez 2018,3,Social-economic,Social,Primary,Quantitative,Survey,N/A,N/A,N/A,N/A,N/A,User perception,Descriptive,Effectiveness of governance,N/A,N/A,Response scale (1-10),N/A,"TURF members (210), Students (204)",N/A,No,N/A,0,0,12,0,2018,2018,<1,1,No,No,,,,,,
#187,Chavez 2018,4,Social-economic,Economic,Primary,Quantitative,Survey,Dynamic common pool resource experiment,N/A,N/A,N/A,N/A,User perception,Descriptive,Resource use and valuation,N/A,N/A,N/A,N/A,"TURF members (210), Students (204)",Dynamic common pool resource experiment,No,N/A,0,0,12,0,2018,2018,<1,1,No,No,,,,,,
#416,Cornelius 2001,1,Environmental,Environmental,Primary,Quantitative,Observation,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Abundance,Coastal birds,N/A,No. of individuals/1.5km,"Tidal height, Littoral/intertidal zone",N/A,N/A,Yes,ANOVA,1,0,0,0,1997,1999,2,4,No,No,,,,,,
