Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#37,Lopez 2024,2,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Density,Inferential analysis,Density,Kelp,Durvillaea incurvata,individuals/m2,"Season, stranded",N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,3,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Size,Inferential analysis,Length,Kelp,Durvillaea incurvata,cm,"Season, stranded",N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,4,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Buoyancy,Inferential analysis,Buoyancy,Kelp,Durvillaea incurvata,newtons,"Season, stranded",N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,5,Environmental,Environmental,Mixed,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Reproductive output,Inferential analysis,Reproductive status,Kelp,Durvillaea incurvata,%,Season,N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,6,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Abundance,Inferential analysis,Barnacle abundance,Barnacle,Lepas spp,%,Season,N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#37,Lopez 2024,7,Environmental,Environmental,Mixed,Quantitative,Direct non-extractive sampling,N/A,N/A,Landing data,"National Fisheries Service, SUBPESCA",,Size,Inferential analysis,Length,Barnacle,Lepas spp,mm,Season,N/A,N/A,Yes,Permanova,2,5,5,0,2021,2023,2,3,No,No,,,,,,
#23,Contreras-Drey 2024,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Behaviour,Inferential analysis,Flight Initiation Distance,Reef fish,C. variegatus,cm,"Size, Site",N/A,N/A,Yes,ANOVA,1,18,11,0,2015,2019,4,1,No,No,Species combined,,,,,
#23,Contreras-Drey 2024,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Behaviour,Inferential analysis,Flight Initiation Distance,Reef fish,P. chilensis,cm,"Size, Site",N/A,N/A,Yes,N/A,1,18,11,0,2015,2019,4,1,No,No,,,,,,
#23,Contreras-Drey 2024,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Behaviour,Inferential analysis,Flight Initiation Distance,Reef fish,A. punctatus,cm,"Size, Site",N/A,N/A,Yes,N/A,1,18,11,0,2015,2019,4,1,No,No,,,,,,
#174,Chaverra 2019,1,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Density,Grazer,"Fissurella spp., Scurria spp., Siphonaria spp, Chiton spp., Enoplochiton niger",individuals/m2,N/A,N/A,N/A,Yes,ANOVA,1,1,1,0,2015,2015,<1,1,No,No,,,,,,
#174,Chaverra 2019,2,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Size,Inferential analysis,Length,Grazer,"Fissurella spp., Scurria spp., Siphonaria spp, Chiton spp., Enoplochiton niger",cm,N/A,N/A,N/A,Yes,ANOVA,1,1,1,0,2015,2015,<1,1,No,No,NMDS and functional diversity recorded with permanova,,,,,
#174,Chaverra 2019,3,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Percentage cover ,Crustose coralline algae,,%,Grazer exclusion,N/A,N/A,Yes,ANOVA,1,1,1,0,2015,2015,<1,9,No,No,,,,,,
#370,Loot 2008,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Inferential analysis,Egg number,Trematode parasite,Proctoeces lintoni,no./individual,"Site, Limpet size, Parasite size, Parasite abundance",N/A,N/A,Yes,ANOVA,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Size,Inferential analysis,Egg size,Trematode parasite,Proctoeces lintoni,?m,"Site, Limpet size, Parasite size, Parasite abundance",N/A,N/A,Yes,ANOVA,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,3,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Abundance,Descriptive,Abundance,Mussel,Perumytilus purpuratus,%,N/A,N/A,N/A,No,N/A,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,4,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Keyhole limpet,Fissurella crassa,individuals/0.25m2,N/A,N/A,N/A,No,N/A,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
#370,Loot 2008,5,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Density,Descriptive,Density,Clingfish,Sicyases sanguineus,individuals/100m/30mins,N/A,N/A,N/A,No,N/A,1,2,0,0,2002,2002,<1,1,No,No,,,,,,
